ranking,name,highSchool,position,height,weight,stars,rating,college
251,Beau Morris,"Blinn College (Baton Rouge,  LA)",OT,6-Jun,280,3,0.8067,SMU
252,Artie Henry III,"San Diego Mesa College (San Diego,  CA)",WR,1-Jun,185,3,0.8067,Marshall
253,Nathaniel Vaughn,"El Camino College (Torrance,  CA)",CB,1-Jun,180,3,0.8056,Nevada
254,Deandre Torrey,"Mississippi Gulf Coast C.C. (Gautier,  MS)",RB,10-May,185,3,0.8056,North Texas
255,Kevin Perkins,"Northwest Mississippi C.C. (Senatobia,  MS)",RB,Jun-00,230,3,0.8056,Troy
256,Justin Garrett,"Cerritos College (Cerritos,  CA)",WR,Jun-00,190,3,0.8056,UTEP
257,Tim Faison,"Independence C.C. (Tallahassee,  FL)",OLB,2-Jun,225,3,0.8056,North Texas
258,Jordan Wayne-Prather,"Antelope Valley College (Lancaster,  CA)",WR,1-Jun,195,3,0.8056,Marshall
259,Nehemiah Shelton,"Long Beach City College (Long Beach,  CA)",CB,1-Jun,170,3,0.8045,San Jose State
260,Yohance Burnett,"Navarro College (Pearland,  TX)",OLB,1-Jun,220,3,0.8028,Tulsa
261,Corey Dunn,"City College of San Francisco (Australia,  AUST)",P,1-Jun,200,3,0.8024,Iowa State
262,DeMichael Harris,"Hinds C.C. (Vicksburg,  MS)",WR,10-May,175,3,0.8017,Southern Miss
263,TyRee Evans,"East Mississippi C.C. (Scooba,  MS)",OLB,2-Jun,210,3,0.8017,Southern Miss
264,Kyler Hack,"Orange Coast College (Costa Mesa,  CA)",OT,6-Jun,300,3,0.8017,Utah State
265,CJ Perez,"Butler C.C. (El Dorado,  KS)",OC,2-Jun,282,3,0.8017,Northern Illinois
266,Zedrick Raymond,"Independence C.C. (Independence,  KS)",CB,Jun-00,180,3,0.8017,Miami (OH)
267,Miles Kendrick,"College of San Mateo (San Jose,  CA)",DUAL,9-May,193,3,0.8017,Kansas
268,Colby Ragland,"Jones County J.C. (Raymond,  MS)",OT,6-Jun,295,3,0.8006,UAB
269,Jordan Carmouche,"Navarro College (Manvel,  TX)",WDE,2-Jun,255,3,0.8,uncommitted
270,Umstead Sanders,"Hinds C.C. (Port Saint Joe,  FL)",OLB,2-Jun,240,3,0.8,Florida
271,Alex Dalpe,"Long Beach City College (Long Beach,  CA)",OT,4-Jun,290,3,0.8,Hawaii
272,Jordan Hendy,"College of San Mateo (San Mateo,  CA)",CB,1-Jun,185,3,0.8,Toledo
273,Misiona Aiolupotea-Pei,"Riverside C.C. (Riverside,  CA)",SDE,3-Jun,260,3,0.8,Washington State
274,Jalil Lecky,"College of San Mateo (San Mateo,  CA)",SDE,5-Jun,220,3,0.8,San Diego State
275,Kingston Davis,"Independence C.C. (Prattville,  AL)",RB,1-Jun,245,3,0.8,UAB
276,Jan-Phillip Bombek,"Feather River College (Plumas Ntl Forest,  CA)",SDE,3-Jun,255,2,0.7967,Colorado State
277,Cordale Grundy,"Northeastern Oklahoma A&M (Tulsa,  OK)",DUAL,1-Jun,190,2,0.7967,UTSA
278,Jake Hudson,"Saddleback College (Rancho Santa Margarita,  CA)",WDE,4-Jun,235,2,0.7956,Toledo
279,Meiko Dotson,"Garden City C.C.  (Daytona Beach,  FL)",CB,5-10.5,188,2,0.7956,Florida Atlantic
280,John Hines,"Southwest Mississippi C.C. (Montgomery,  AL)",WDE,4-Jun,230,2,0.7956,Troy
281,Jovon Burriss Jr,"Fullerton College (Germantown,  MD)",S,2-Jun,185,2,0.7956,McNeese State
282,Drew Bronson,"Garden City C.C.  (Garden City,  KS)",OC,3-Jun,270,2,0.7956,uncommitted
283,DeMario Burnett,"Butler C.C. (El Dorado,  KS)",WDE,7-Jun,255,2,0.7956,uncommitted
284,Avery Jones,"Golden West College (Huntington Beach,  CA)",ILB,1-Jun,235,2,0.7956,Middle Tennessee State
285,Mason Mata'afa,"Orange Coast College (Costa Mesa,  CA)",SDE,5-Jun,235,2,0.7956,Hawaii
286,Will Gilchrist,"Blinn College (Deer Park,  TX)",OC,3-Jun,290,2,0.7945,Middle Tennessee State
287,Mike Witherspoon,"Hutchinson C.C. (Lawrenceville,  GA)",S,1-Jun,195,2,0.7944,East Carolina
288,Brandon Floyd,"Trinity Valley C.C. (Denton,  TX)",OLB,3-Jun,215,2,0.7944,Louisiana Tech
289,Hunter Raquet,"Monterey Peninsula College (Hollister,  CA)",DUAL,4-Jun,200,2,0.7933,Fresno State
290,Matt Martin,"Trinity Valley C.C. (Deer Park,  TX)",OC,2-Jun,285,2,0.7933,Middle Tennessee State
291,Tyler Ringwood,"Erie C.C. (Buffalo,  NY)",WR,3-Jun,221,2,0.7933,Charlotte
292,Thomas Toki,"College of San Mateo (Mountain View,  CA)",DT,Jun-00,305,2,0.7917,Arkansas State
293,Diondre Champaigne,"Jones County J.C. (North Charleston,  SC)",WR,3-Jun,194,2,0.7906,Georgia State
294,Peytton Pickett,"Trinity Valley C.C. (Arlington,  TX)",RB,8-May,183,2,0.7906,Liberty
295,Ross Painter,"Northeast Mississippi C.C. (Hernando,  MS)",TE,4-Jun,225,2,0.7906,Arkansas State
296,Moss Saccomanno,"Dodge City C.C. (Dodge City,  KS)",TE,5-Jun,235,2,0.7905,Charlotte
297,Adrien Cross,"Hutchinson C.C. (Brunswick,  GA)",S,10-May,185,2,0.7905,Texas Tech
298,Dior Johnson,"Independence C.C. (Southfield,  MI)",S,2-Jun,195,2,0.7905,Murray State
299,James Alston,"Coffeyville C.C. (Hackensack,  NJ)",OT,7-Jun,305,2,0.7905,uncommitted
300,Derek Thomas,"Cerritos College (Norwalk,  CA)",SDE,3-Jun,215,2,0.79,Hawaii
301,Erskine Francis,"Fort Scott C.C. (Fort Scott,  KS)",CB,1-Jun,180,2,0.79,Austin Peay
302,Lorenzo McCaskill,"Holmes C.C. (Southfield,  MI)",OLB,2-Jun,210,2,0.79,Louisiana
303,Landon Forman,"Northeastern Oklahoma A&M (Miami,  OK)",OT,5-Jun,280,2,0.79,Akron
304,Michael Thompson,"Modesto J.C. (Modesto,  CA)",WR,4-Jun,189,2,0.79,Eastern Michigan
305,Keith Williams,"Independence C.C. (Baltimore,  MD)",OT,7-Jun,280,2,0.79,Colorado State
306,Ernest Moore,"City College of San Francisco (San Francisco,  CA)",OT,-,-,2,0.79,Hawaii
307,Gene Pryor,"College of the Sequoias (Visalia,  CA)",OG,3-Jun,312,2,0.79,Hawaii
308,Jordan Johnson,"Garden City C.C.  (Lansdowne,  PA)",OG,4-Jun,311,2,0.79,East Carolina
309,Johnny Lumpkin,"Hutchinson C.C. (Atlanta,  GA)",TE,6-Jun,230,2,0.79,Louisiana
310,Cameron Solomon,"Tyler J.C.  (Ashdown,  AR)",CB,11-May,180,2,0.79,Louisiana
311,Jalyn Galmore,"Itawamba C.C. (Batesville,  MS)",OG,5-Jun,290,2,0.7894,UTSA
312,Mario Dungy,"Highland C.C. (Eight Mile,  AL)",DT,3-Jun,285,2,0.7894,Georgia State
313,Hassan Belton,"Butler C.C. (Blythewood,  SC)",OLB,Jun-00,215,2,0.7894,Bowling Green
314,Jo-El Shaw,"Lackawanna C.C. (Pittsburgh,  PA)",RB,1-Jun,235,2,0.7894,Kent State
315,Walter Harris,"Mt. San Antonio College (Walnut,  CA)",OG,3-Jun,285,2,0.7889,uncommitted
316,Chris Evagues,"Saddleback College (Mission Viejo,  CA)",WDE,1-Jun,225,2,0.7889,uncommitted
317,Devontae Seay,"College of the Canyons (Albany,  GA)",WR,11-May,165,2,0.7889,uncommitted
318,Deanjelo Anderson,"Ellsworth C.C. (Iowa Falls,  IA)",OLB,3-Jun,230,2,0.7889,uncommitted
319,Jack Luavasa,"Snow College (Ephraim,  UT)",TE,4-Jun,240,2,0.7889,Kansas
320,Babak Ghadaksaz,"Saddleback College (Irvine,  CA)",OG,4-Jun,285,2,0.7889,Portland State
321,Sonnie Richardson,"Mesa C.C. (Mesa,  AZ)",WR,9-May,185,2,0.7889,uncommitted
322,De'Abrie Smith,"College of the Desert (Palatka,  FL)",PRO,1-Jun,200,2,0.7889,uncommitted
323,Cal Kee,"East Central C.C. (Hampton,  VA)",S,1-Jun,205,2,0.7883,Louisiana-Monroe
324,Darrian McMillan,"Butler C.C. (Mobile,  AL)",WDE,3-Jun,255,2,0.7855,North Texas
325,Judge Hartin,"Northeastern Oklahoma A&M (Madill,  OK)",OG,4-Jun,285,2,0.7855,Tulsa
326,Quin Jones,"East Mississippi C.C. (Oxford,  MS)",ILB,1-Jun,225,2,0.7855,Stephen F. Austin
327,Cole Baker,"East Mississippi C.C. (Scooba,  MS)",DT,3-Jun,275,2,0.7855,Ohio
328,Luca Vartic,"Arizona Western College (Kealakekua,  HI)",CB,2-Jun,200,2,0.7855,UNLV
329,Kendricks Gladney,"ASA College (New York) (Brooklyn,  NY)",S,Jun-00,195,2,0.7855,Middle Tennessee State
330,Wallace Cowins,"Georgia Military College (Milledgeville,  GA)",SDE,4-Jun,240,2,0.7855,Coastal Carolina
331,Tre Bland,"Riverside C.C. (Riverside,  CA)",OG,2-Jun,288,2,0.7844,New Mexico
332,Thomas Odukoya,"Garden City C.C.  (Garden City,  KS)",TE,6-Jun,265,2,0.7844,Eastern Michigan
333,Shawn Simeon,"Coffeyville C.C. (Coffeyville,  KS)",SDE,6-Jun,240,2,0.7844,Eastern Michigan
334,Jeffrey Keene,"Fort Scott C.C. (Fort Scott,  KS)",WDE,4-Jun,215,2,0.7844,Hawaii
335,Justin Prince,"Long Beach City College (Harbor City,  CA)",S,11-May,195,2,0.7844,UTEP
336,Tyler Glass,"Copiah-Lincoln C.C. (Greenwood,  MS)",S,1-Jun,200,2,0.7844,Louisiana-Monroe
337,Jalen Nelson,"Southwestern College (Chula Vista,  CA)",CB,2-Jun,180,2,0.7833,San Jose State
338,Ky'el Hemby,"Iowa Western C.C. (Council Bluffs,  IA)",CB,1-Jun,205,2,0.7833,Southern Miss
339,Jarvis Hayes,"Itawamba C.C. (Slocomb,  AL)",WDE,4-Jun,215,2,0.7805,Troy
340,Tukua Ahoia,"College of San Mateo (San Mateo,  CA)",DT,Jun-00,310,2,0.7805,Arkansas State
341,David Zavala,"Cerritos College (Norwalk,  CA)",OT,2-Jun,307,2,0.7805,New Mexico
342,Jonathan Timmons,"Coffeyville C.C. (Memphis,  TN)",OG,5-Jun,320,2,0.78,Charlotte
343,O'Shea Jackson,"Trinity Valley C.C. (Arlington,  TX)",DT,1-Jun,300,2,0.78,uncommitted
344,Jacob Whitmer,"Chaffey College (Rancho Cucamonga,  CA)",TE,6-Jun,245,2,0.78,uncommitted
345,Tyler Orsini,"Ventura College (Ventura,  CA)",OG,3-Jun,300,2,0.78,uncommitted
346,Arthur Jackson III,"American River C.C. (Sacramento,  CA)",WR,Jun-00,185,2,0.78,Eastern Michigan
347,Breon Hayward,"Navarro College (Corsicana,  TX)",OLB,2-Jun,225,2,0.78,Marshall
348,Caleb Mills,"Dodge City C.C. (Gastonia,  NC)",WR,6-3.5,172,2,0.78,New Mexico State
349,Presley Motes,"Eastern Arizona College (Thatcher,  AZ)",TE,4-Jun,235,2,0.78,Bowling Green
350,Shannon Hall,"College of DuPage (Indianapolis,  IN)",SDE,3-Jun,255,2,0.78,Ball State
351,Dominion Ezinwa,"Chaffey College (Rancho Cucamonga,  CA)",DT,4-Jun,300,2,0.78,UNLV
352,Carlos Thompson,"Independence C.C. (Manvel,  TX)",WR,9-May,185,2,0.78,uncommitted
353,Gavin Sharp,"Blinn College (Brenham,  TX)",TE,5-Jun,240,2,0.78,UTSA
354,Travis Bird,"College of the Canyons (Stevenson Ranch,  CA)",OG,5-Jun,295,2,0.78,South Alabama
355,Cade Baumann,"Northeastern Oklahoma A&M (Miami,  OK)",WDE,4-Jun,215,2,0.7794,Tulsa
356,Gerald Bell,"Pearl River C.C. (Bessemer,  AL)",OG,5-Jun,255,2,0.7794,Troy
357,Tres Barboza,"Tyler J.C.  (Castroville,  TX)",OT,5-Jun,295,2,0.7794,UTEP
358,Josh Caldwell,"Cerritos College (La Mirada,  CA)",CB,1-Jun,180,2,0.7794,UTEP
359,Vada King,"Holmes C.C. (Smiths Station,  AL)",WDE,1-Jun,230,2,0.7755,uncommitted
360,Treyvion Shannon,"Mississippi Gulf Coast C.C. (Clarksdale,  MS)",OT,5-Jun,305,2,0.7744,UTSA
361,Austin Watkins,"Dodge City C.C. (Dodge City,  KS)",WR,3-Jun,200,2,0.7744,UAB
362,Nick Dennis,"Navarro College (Midland,  TX)",OG,4-Jun,315,2,0.7744,SMU
363,Myles Plummer,"Coffeyville C.C. (Chester,  VA)",S,1-Jun,185,2,0.7744,UNLV
364,Teddy Gallagher,"Glendale C.c. (Glendale,  CA)",ILB,2-Jun,235,2,0.7744,Coastal Carolina
365,Jarred Sylvester,"Dodge City C.C. (Dodge City,  KS)",OT,4-Jun,300,2,0.7744,New Mexico
366,A.J. Greeley,"College of the Sequoias (Fresno,  CA)",CB,10-May,170,2,0.7744,New Mexico
367,Travis Sailo,"Itawamba C.C. (Buhl,  AL)",DT,2-Jun,230,2,0.7744,Troy
368,Bruce Burns,"Laney College (Oakland,  CA)",OT,3-Jun,345,2,0.7744,Idaho
369,Aaron Boatright,"East Mississippi C.C. (Scooba,  MS)",SDE,5-Jun,241,2,0.7744,Idaho
370,Tyrone Neal,"Fort Scott C.C. (Fort Scott,  KS)",ILB,Jun-00,225,2,0.7733,Eastern Michigan
371,Bobby Brown,"College of the Canyons (Valencia,  CA)",CB,1-Jun,170,2,0.7733,San Jose State
372,Kendall Parham,"Jones County J.C. (Ellisville,  MS)",WR,10-May,179,2,0.7733,UAB
373,Ray Buford,"Independence C.C. (Southfield,  MI)",CB,2-Jun,190,2,0.7733,New Mexico State
374,Patrick Peek,"Trinity Valley C.C. (Aledo,  TX)",S,11-May,200,2,0.7733,New Mexico
375,Tavis Malakius,"Fort Scott C.C. (Macon,  GA)",DT,3-Jun,297,2,0.7733,UNLV
376,Shane Johnson,"Snow College (Houston,  TX)",DUAL,2-Jun,220,2,0.77,Texas A&M
377,Atunaisa Vainikolo,"Mt. San Antonio College (Walnut,  CA)",DT,2-Jun,280,2,0.77,Buffalo
378,Devon Jackson,"Santa Ana College (Santa Ana,  CA)",WR,2-Jun,190,2,0.77,Middle Tennessee State
379,Thomas Preston III,"Scottsdale C.C. (Mesa,  AZ)",OT,4-Jun,290,2,0.77,North Texas
380,Damien Crumitie,"Dodge City C.C. (Tallahassee,  FL)",S,11-May,174,2,0.77,Grambling State
381,Lautoa Nomura,"Santa Ana College (Santa Ana,  CA)",S,1-Jun,195,2,0.77,New Mexico State
382,Bryce Petersen,"Riverside C.C. (Mckinleyville,  CA)",OG,3-Jun,280,2,0.77,Akron
383,Zack Bennett,"Arizona Western College (Meridian,  ID)",OC,3-Jun,280,2,0.77,Florida Atlantic
384,Alexander Vainikolo,"Mt. San Antonio College (Walnut,  CA)",ILB,Jun-00,235,2,0.77,New Mexico
385,Alvin Pacheco,"Ventura College (Ventura,  CA)",S,Jun-00,185,2,0.77,Texas State
386,Tuni Ropati,"City College of San Francisco (San Francisco,  CA)",DT,2-Jun,290,2,0.77,Ball State
387,Travis Reed,"Jones County J.C. (Ellisville,  MS)",CB,2-Jun,175,2,0.7694,South Alabama
388,Alex Bridges,"Cisco College (Tyler,  TX)",OT,6-Jun,320,2,0.7694,Central Arkansas
389,Cooper Lee,"Coffeyville C.C. (De Soto,  KS)",P,1-Jun,195,2,0.7694,Bowling Green
390,A.J. Beach,"Georgia Military College (Milledgeville,  GA)",CB,10-May,185,2,0.7683,Appalachian State
391,Ahmari Davis,"Laney College (Oakland,  CA)",RB,11-May,190,2,0.7683,New Mexico
392,Aires Gardner,"Navarro College (Houston,  TX)",OG,3-Jun,290,2,0.7667,Lamar
393,Jordan Beaton,"Jones County J.C. (Gulfport,  MS)",DT,2-Jun,285,2,0.7644,South Alabama
394,Cullen Wick,"Blinn College (Hallettsville,  TX)",SDE,2-Jun,250,2,0.7644,Tulsa
395,Josh Sa'afi,"Mt. San Antonio College (Euless,  TX)",WDE,3-Jun,272,2,0.7644,North Texas
396,Daymon Anderson,"Lackawanna C.C. (Scranton,  PA)",CB,1-Jun,195,2,0.7633,Charlotte
397,Cameron Townsend,"Moorpark College (Westlake Village,  CA)",DT,1-Jun,265,2,0.7633,Idaho
398,Turan Rush,"Antelope Valley College (Lancaster,  CA)",DT,1-Jun,260,2,0.7633,Eastern Michigan
399,Kaleb Meder,"American River C.C. (Wheatland,  CA)",SDE,3-Jun,250,2,0.7633,Nevada
400,Kobie Beltram,"City College of San Francisco (Antioch,  CA)",ILB,1-Jun,230,2,0.7633,Eastern Michigan
401,Trent Sellers,"Coffeyville C.C. (Tyrone,  GA)",SDE,5-Jun,265,2,0.7633,New Mexico
402,Barry Howard,"Copiah-Lincoln C.C. (Wesson,  MS)",SDE,2-Jun,230,2,0.7633,Louisiana-Monroe
403,Cedric Byrd,"Long Beach City College (Harbor City,  CA)",WR,9-May,170,2,0.7633,Hawaii
404,Erin Austin,"Laney College (Oakland,  CA)",WDE,3-Jun,270,2,0.7633,New Mexico
405,Ariyon Huff,"Yuba College (Marysville,  CA)",WR,8-May,191,2,0.7633,Idaho
406,Jason Thomas,"Golden West College (Downey,  CA)",CB,11-May,170,2,0.76,uncommitted
407,Moses Landis,"American River C.C. (Sacramento,  CA)",OT,4-Jun,295,2,0.76,Nevada
408,Diego Cervantes,"American River C.C. (Sacramento,  CA)",OC,2-Jun,270,2,0.76,Old Dominion
409,Eric Pulliam,"Fullerton College (Fullerton,  CA)",OG,5-Jun,305,2,0.76,New Mexico State
410,Joey Banks,"City College of San Francisco (Elk Grove,  CA)",S,10-May,180,2,0.76,Buffalo
411,Tyrrel Eddington,"Bakersfield College (Bakersfield,  CA)",DT,3-Jun,305,2,0.76,Eastern Michigan
412,Dominic Taylor,"Hutchinson C.C. (Snellville,  GA)",OT,5-Jun,275,2,0.76,Charlotte
413,Luqman Barcoo,"Grossmont College (El Cajon,  CA)",CB,1-Jun,170,2,0.76,San Diego State
414,DeJohn Rogers,"Monroe College (Matawan,  NJ)",CB,Jun-00,175,2,0.76,New Mexico
415,Cooper Garcia,"Ventura College (Ojai,  CA)",K,10-May,200,2,0.7583,Massachusetts
416,Carter Wood,"Mississippi Gulf Coast C.C. (Starkville,  MS)",OT,5-Jun,275,2,0.7583,UAB
417,DeShondrick Foxworth,"Jones County J.C. (Ellisville,  MS)",DT,2-Jun,314,2,0.7583,Buffalo
418,LaRance Shaw,"Cisco College (Fort Worth,  TX)",DT,11-May,250,2,0.7583,Louisiana-Monroe
419,Edwin Grande,"Monterey Peninsula College (Monterey,  CA)",OT,5-Jun,291,2,0.7583,Idaho
420,Jawaski Webb,"Holmes C.C. (Goodman,  MS)",OG,2-Jun,280,2,0.7533,Georgia Southern
421,Brian Robinson,"Laney College (Oakland,  CA)",OG,4-Jun,346,2,0.7533,Idaho
422,Chris Estrella,"Mt. San Jacinto College (San Jacinto,  CA)",OT,5-Jun,285,2,0.75,New Mexico
423,Nate Needham,"Erie C.C. (Buffalo,  NY)",K,1-Jun,185,2,0.75,uncommitted
424,Steavenson Fernand,"ASA College (Miami) (Fort Lauderdale,  FL)",WR,3-Jun,190,2,0.75,Idaho
425,Justin Rohrwasser,"Erie C.C. (Buffalo,  NY)",K,3-Jun,209,2,0.75,Marshall
426,Adam Valiga,"College of DuPage (Glen Ellyn,  IL)",TE,5-Jun,245,2,0.75,Eastern Kentucky
427,Tyson Dyer,"Palomar College (San Marcos,  CA)",P,2-Jun,198,2,0.75,New Mexico
428,Bryce Wempa,"Tyler J.C.  (Royse City,  TX)",TE,5-Jun,248,2,0.74,Stephen F. Austin
429,Patrick LeCorre,"Eastern Arizona College (Thatcher,  AZ)",K,1-Jun,200,2,0.74,Ball State
430,Marquise Griffin,"East Mississippi C.C. (Scooba,  MS)",DT,3-Jun,320,2,0.74,Austin Peay
431,Oscar Draguicevich,"Temple College (Hutto,  TX)",P,11-May,185,2,0.73,UTEP
432,Xavier Santiago,"ASA College (Miami) (Fort Myers,  FL)",OT,5-Jun,290,2,0.7,Wagner
